age;job;marital;education;balance;housing;loan;contact;day;month;duration;campaign;pdays;poutcome;y
58;management;married;tertiary;2143;1;0;unknown;5;may;261;1;-1;unknown;0
44;technician;single;secondary;29;1;0;unknown;5;may;151;1;-1;unknown;0
33;entrepreneur;married;secondary;2;1;1;unknown;5;may;76;1;-1;unknown;0
47;blue-collar;married;unknown;1506;1;0;unknown;5;may;92;1;-1;unknown;0
33;unknown;single;unknown;1;0;0;unknown;5;may;198;1;-1;unknown;0
35;management;married;tertiary;231;1;0;unknown;5;may;139;1;-1;unknown;0
28;management;single;tertiary;447;1;1;unknown;5;may;217;1;-1;unknown;0
42;entrepreneur;divorced;tertiary;2;1;0;unknown;5;may;380;1;-1;unknown;0
58;retired;married;primary;121;1;0;unknown;5;may;50;1;-1;unknown;0
43;technician;single;secondary;593;1;0;unknown;5;may;55;1;-1;unknown;0
41;admin.;divorced;secondary;270;1;0;unknown;5;may;222;1;-1;unknown;0
29;admin.;single;secondary;390;1;0;unknown;5;may;137;1;-1;unknown;0
53;technician;married;secondary;6;1;0;unknown;5;may;517;1;-1;unknown;0
58;technician;married;unknown;71;1;0;unknown;5;may;71;1;-1;unknown;0
57;services;married;secondary;162;1;0;unknown;5;may;174;1;-1;unknown;0
51;retired;married;primary;229;1;0;unknown;5;may;353;1;-1;unknown;0
45;admin.;single;unknown;13;1;0;unknown;5;may;98;1;-1;unknown;0
57;blue-collar;married;primary;52;1;0;unknown;5;may;38;1;-1;unknown;0
60;retired;married;primary;60;1;0;unknown;5;may;219;1;-1;unknown;0
33;services;married;secondary;0;1;0;unknown;5;may;54;1;-1;unknown;0
28;blue-collar;married;secondary;723;1;1;unknown;5;may;262;1;-1;unknown;0
56;management;married;tertiary;779;1;0;unknown;5;may;164;1;-1;unknown;0
32;blue-collar;single;primary;23;1;1;unknown;5;may;160;1;-1;unknown;0
25;services;married;secondary;50;1;0;unknown;5;may;342;1;-1;unknown;0
40;retired;married;primary;0;1;1;unknown;5;may;181;1;-1;unknown;0
44;admin.;married;secondary;-372;1;0;unknown;5;may;172;1;-1;unknown;0
39;management;single;tertiary;255;1;0;unknown;5;may;296;1;-1;unknown;0
52;entrepreneur;married;secondary;113;1;1;unknown;5;may;127;1;-1;unknown;0
46;management;single;secondary;-246;1;0;unknown;5;may;255;2;-1;unknown;0
36;technician;single;secondary;265;1;1;unknown;5;may;348;1;-1;unknown;0
57;technician;married;secondary;839;0;1;unknown;5;may;225;1;-1;unknown;0
49;management;married;tertiary;378;1;0;unknown;5;may;230;1;-1;unknown;0
60;admin.;married;secondary;39;1;1;unknown;5;may;208;1;-1;unknown;0
59;blue-collar;married;secondary;0;1;0;unknown;5;may;226;1;-1;unknown;0
51;management;married;tertiary;10635;1;0;unknown;5;may;336;1;-1;unknown;0
57;technician;divorced;secondary;63;1;0;unknown;5;may;242;1;-1;unknown;0
25;blue-collar;married;secondary;-7;1;0;unknown;5;may;365;1;-1;unknown;0
53;technician;married;secondary;-3;0;0;unknown;5;may;1666;1;-1;unknown;0
36;admin.;divorced;secondary;506;1;0;unknown;5;may;577;1;-1;unknown;0
37;admin.;single;secondary;0;1;0;unknown;5;may;137;1;-1;unknown;0
44;services;divorced;secondary;2586;1;0;unknown;5;may;160;1;-1;unknown;0
50;management;married;secondary;49;1;0;unknown;5;may;180;2;-1;unknown;0
60;blue-collar;married;unknown;104;1;0;unknown;5;may;22;1;-1;unknown;0
54;retired;married;secondary;529;1;0;unknown;5;may;1492;1;-1;unknown;0
58;retired;married;unknown;96;1;0;unknown;5;may;616;1;-1;unknown;0
36;admin.;single;primary;-171;1;0;unknown;5;may;242;1;-1;unknown;0
58;self-employed;married;tertiary;-364;1;0;unknown;5;may;355;1;-1;unknown;0
44;technician;married;secondary;0;1;0;unknown;5;may;225;2;-1;unknown;0
55;technician;divorced;secondary;0;0;0;unknown;5;may;160;1;-1;unknown;0
29;management;single;tertiary;0;1;0;unknown;5;may;363;1;-1;unknown;0
54;blue-collar;married;secondary;1291;1;0;unknown;5;may;266;1;-1;unknown;0
48;management;divorced;tertiary;-244;1;0;unknown;5;may;253;1;-1;unknown;0
32;management;married;tertiary;0;1;0;unknown;5;may;179;1;-1;unknown;0
42;admin.;single;secondary;-76;1;0;unknown;5;may;787;1;-1;unknown;0
24;technician;single;secondary;-103;1;1;unknown;5;may;145;1;-1;unknown;0
38;entrepreneur;single;tertiary;243;0;1;unknown;5;may;174;1;-1;unknown;0
38;management;single;tertiary;424;1;0;unknown;5;may;104;1;-1;unknown;0
47;blue-collar;married;unknown;306;1;0;unknown;5;may;13;1;-1;unknown;0
40;blue-collar;single;unknown;24;1;0;unknown;5;may;185;1;-1;unknown;0
46;services;married;primary;179;1;0;unknown;5;may;1778;1;-1;unknown;0
32;admin.;married;tertiary;0;1;0;unknown;5;may;138;1;-1;unknown;0
53;technician;divorced;secondary;989;1;0;unknown;5;may;812;1;-1;unknown;0
57;blue-collar;married;primary;249;1;0;unknown;5;may;164;1;-1;unknown;0
33;services;married;secondary;790;1;0;unknown;5;may;391;1;-1;unknown;0
49;blue-collar;married;unknown;154;1;0;unknown;5;may;357;1;-1;unknown;0
51;management;married;tertiary;6530;1;0;unknown;5;may;91;1;-1;unknown;0
60;retired;married;tertiary;100;0;0;unknown;5;may;528;1;-1;unknown;0
59;management;divorced;tertiary;59;1;0;unknown;5;may;273;1;-1;unknown;0
55;technician;married;secondary;1205;1;0;unknown;5;may;158;2;-1;unknown;0
35;blue-collar;single;secondary;12223;1;1;unknown;5;may;177;1;-1;unknown;0
57;blue-collar;married;secondary;5935;1;1;unknown;5;may;258;1;-1;unknown;0
31;services;married;secondary;25;1;1;unknown;5;may;172;1;-1;unknown;0
54;management;married;secondary;282;1;1;unknown;5;may;154;1;-1;unknown;0
55;blue-collar;married;primary;23;1;0;unknown;5;may;291;1;-1;unknown;0
43;technician;married;secondary;1937;1;0;unknown;5;may;181;1;-1;unknown;0
53;technician;married;secondary;384;1;0;unknown;5;may;176;1;-1;unknown;0
44;blue-collar;married;secondary;582;0;1;unknown;5;may;211;1;-1;unknown;0
55;services;divorced;secondary;91;0;0;unknown;5;may;349;1;-1;unknown;0
49;services;divorced;secondary;0;1;1;unknown;5;may;272;1;-1;unknown;0
55;services;divorced;secondary;1;1;0;unknown;5;may;208;1;-1;unknown;0
45;admin.;single;secondary;206;1;0;unknown;5;may;193;1;-1;unknown;0
47;services;divorced;secondary;164;0;0;unknown;5;may;212;1;-1;unknown;0
42;technician;single;secondary;690;1;0;unknown;5;may;20;1;-1;unknown;0
59;admin.;married;secondary;2343;1;0;unknown;5;may;1042;1;-1;unknown;1
46;self-employed;married;tertiary;137;1;1;unknown;5;may;246;1;-1;unknown;0
51;blue-collar;married;primary;173;1;0;unknown;5;may;529;2;-1;unknown;0
56;admin.;married;secondary;45;0;0;unknown;5;may;1467;1;-1;unknown;1
41;technician;married;secondary;1270;1;0;unknown;5;may;1389;1;-1;unknown;1
46;management;divorced;secondary;16;1;1;unknown;5;may;188;2;-1;unknown;0
57;retired;married;secondary;486;1;0;unknown;5;may;180;2;-1;unknown;0
42;management;single;secondary;50;0;0;unknown;5;may;48;1;-1;unknown;0
30;technician;married;secondary;152;1;1;unknown;5;may;213;2;-1;unknown;0
60;admin.;married;secondary;290;1;0;unknown;5;may;583;1;-1;unknown;0
60;blue-collar;married;unknown;54;1;0;unknown;5;may;221;1;-1;unknown;0
57;entrepreneur;divorced;secondary;-37;0;0;unknown;5;may;173;1;-1;unknown;0
36;management;married;tertiary;101;1;1;unknown;5;may;426;1;-1;unknown;0
55;blue-collar;married;secondary;383;0;0;unknown;5;may;287;1;-1;unknown;0
60;retired;married;tertiary;81;1;0;unknown;5;may;101;1;-1;unknown;0
39;technician;married;secondary;0;1;0;unknown;5;may;203;1;-1;unknown;0
46;management;married;tertiary;229;1;0;unknown;5;may;197;1;-1;unknown;0
44;blue-collar;married;secondary;-674;1;0;unknown;5;may;257;1;-1;unknown;0
53;blue-collar;married;primary;90;0;0;unknown;5;may;124;1;-1;unknown;0
52;blue-collar;married;primary;128;1;0;unknown;5;may;229;1;-1;unknown;0
59;blue-collar;married;primary;179;1;0;unknown;5;may;55;3;-1;unknown;0
27;technician;single;tertiary;0;1;0;unknown;5;may;400;1;-1;unknown;0
44;blue-collar;married;secondary;54;1;0;unknown;5;may;197;1;-1;unknown;0
47;technician;married;tertiary;151;1;0;unknown;5;may;190;1;-1;unknown;0
34;admin.;married;secondary;61;0;1;unknown;5;may;21;1;-1;unknown;0
59;retired;single;secondary;30;1;0;unknown;5;may;514;1;-1;unknown;0
45;management;married;tertiary;523;1;0;unknown;5;may;849;2;-1;unknown;0
29;services;divorced;secondary;31;1;0;unknown;5;may;194;1;-1;unknown;0
46;technician;divorced;secondary;79;0;0;unknown;5;may;144;1;-1;unknown;0
56;self-employed;married;primary;-34;1;1;unknown;5;may;212;2;-1;unknown;0
36;blue-collar;married;primary;448;1;0;unknown;5;may;286;1;-1;unknown;0
59;retired;divorced;primary;81;1;0;unknown;5;may;107;1;-1;unknown;0
44;blue-collar;married;secondary;144;1;0;unknown;5;may;247;2;-1;unknown;0
41;admin.;married;secondary;351;1;0;unknown;5;may;518;1;-1;unknown;0
33;management;single;tertiary;-67;1;0;unknown;5;may;364;1;-1;unknown;0
59;management;divorced;tertiary;262;0;0;unknown;5;may;178;1;-1;unknown;0
57;technician;married;primary;0;0;0;unknown;5;may;98;1;-1;unknown;0
56;technician;divorced;unknown;56;1;0;unknown;5;may;439;1;-1;unknown;0
51;blue-collar;married;secondary;26;1;0;unknown;5;may;79;1;-1;unknown;0
34;admin.;married;unknown;3;1;0;unknown;5;may;120;3;-1;unknown;0
43;services;married;secondary;41;1;1;unknown;5;may;127;2;-1;unknown;0
52;technician;married;tertiary;7;0;1;unknown;5;may;175;1;-1;unknown;0
33;technician;single;secondary;105;1;0;unknown;5;may;262;2;-1;unknown;0
29;admin.;single;secondary;818;1;1;unknown;5;may;61;1;-1;unknown;0
34;services;married;secondary;-16;1;1;unknown;5;may;78;1;-1;unknown;0
31;blue-collar;married;secondary;0;1;0;unknown;5;may;143;1;-1;unknown;0
55;services;married;secondary;2476;1;0;unknown;5;may;579;1;-1;unknown;1
55;management;married;unknown;1185;0;0;unknown;5;may;677;1;-1;unknown;0
32;admin.;single;secondary;217;1;0;unknown;5;may;345;1;-1;unknown;0
38;technician;single;secondary;1685;1;0;unknown;5;may;185;1;-1;unknown;0
55;admin.;single;secondary;802;1;1;unknown;5;may;100;2;-1;unknown;0
28;unemployed;single;tertiary;0;1;0;unknown;5;may;125;2;-1;unknown;0
23;blue-collar;married;secondary;94;1;0;unknown;5;may;193;1;-1;unknown;0
32;technician;single;secondary;0;1;0;unknown;5;may;136;1;-1;unknown;0
43;services;single;unknown;0;0;0;unknown;5;may;73;1;-1;unknown;0
32;blue-collar;married;secondary;517;1;0;unknown;5;may;528;1;-1;unknown;0
46;blue-collar;married;secondary;265;1;0;unknown;5;may;541;1;-1;unknown;0
53;housemaid;divorced;primary;947;1;0;unknown;5;may;163;1;-1;unknown;0
34;self-employed;single;secondary;3;1;0;unknown;5;may;301;1;-1;unknown;0
57;unemployed;married;tertiary;42;0;0;unknown;5;may;46;1;-1;unknown;0
37;blue-collar;married;secondary;37;1;0;unknown;5;may;204;1;-1;unknown;0
59;blue-collar;married;secondary;57;1;0;unknown;5;may;98;1;-1;unknown;0
33;services;married;secondary;22;1;0;unknown;5;may;71;1;-1;unknown;0
56;blue-collar;divorced;primary;8;1;0;unknown;5;may;157;2;-1;unknown;0
48;unemployed;married;secondary;293;1;0;unknown;5;may;243;1;-1;unknown;0
43;services;married;primary;3;1;0;unknown;5;may;186;2;-1;unknown;0
54;blue-collar;married;primary;348;1;0;unknown;5;may;579;2;-1;unknown;0
51;blue-collar;married;unknown;-19;1;0;unknown;5;may;163;2;-1;unknown;0
26;student;single;secondary;0;1;0;unknown;5;may;610;2;-1;unknown;0
40;management;married;tertiary;-4;1;0;unknown;5;may;2033;1;-1;unknown;0
39;management;married;secondary;18;1;0;unknown;5;may;85;1;-1;unknown;0
50;technician;married;primary;139;0;0;unknown;5;may;114;2;-1;unknown;0
41;services;married;secondary;0;1;0;unknown;5;may;114;2;-1;unknown;0
51;blue-collar;married;unknown;1883;1;0;unknown;5;may;57;1;-1;unknown;0
60;retired;divorced;secondary;216;1;0;unknown;5;may;238;1;-1;unknown;0
52;blue-collar;married;secondary;782;1;0;unknown;5;may;93;3;-1;unknown;0
48;blue-collar;married;secondary;904;1;0;unknown;5;may;128;2;-1;unknown;0
48;services;married;unknown;1705;1;0;unknown;5;may;107;1;-1;unknown;0
39;technician;single;tertiary;47;1;0;unknown;5;may;181;1;-1;unknown;0
47;services;single;secondary;176;1;0;unknown;5;may;303;2;-1;unknown;0
40;blue-collar;married;secondary;1225;1;0;unknown;5;may;558;5;-1;unknown;0
45;technician;married;secondary;86;1;0;unknown;5;may;270;1;-1;unknown;0
26;admin.;single;secondary;82;1;0;unknown;5;may;228;1;-1;unknown;0
52;management;married;tertiary;271;1;0;unknown;5;may;99;1;-1;unknown;0
54;technician;married;secondary;1378;1;0;unknown;5;may;240;1;-1;unknown;0
54;admin.;married;tertiary;184;0;0;unknown;5;may;673;2;-1;unknown;1
50;blue-collar;married;primary;0;0;0;unknown;5;may;233;3;-1;unknown;0
35;blue-collar;married;secondary;0;1;0;unknown;5;may;1056;1;-1;unknown;0
44;services;married;secondary;1357;1;1;unknown;5;may;250;1;-1;unknown;0
53;entrepreneur;married;unknown;19;1;0;unknown;5;may;252;1;-1;unknown;0
35;retired;single;primary;434;0;0;unknown;5;may;138;1;-1;unknown;0
60;admin.;divorced;secondary;92;1;0;unknown;5;may;130;1;-1;unknown;0
53;admin.;divorced;secondary;1151;1;0;unknown;5;may;412;1;-1;unknown;0
